0	185	785	554	205	725	36	813	467	
1	700	588	594	51	481	150	856	399	
2	156	464	517	408	67	548	287	434	
3	433	348	466	421	700	143	347	815	
4	374	418	394	668	593	180	225	229	
5	532	410	84	239	823	665	856	592	
6	141	260	818	763	885	563	582	87	
7	497	478	183	363	892	257	669	687	
8	886	130	438	325	631	733	522	313	
9	507	259	700	164	418	31	292	608	
10	137	87	524	382	758	275	100	213	
11	222	32	246	578	438	150	257	416	
12	81	389	456	577	465	185	521	128	
13	188	471	676	290	876	77	2	788	
14	678	464	650	216	620	509	598	623	
15	645	3	415	2	766	863	703	809	
16	610	593	186	486	162	124	569	447	
17	493	1	171	243	819	685	653	237	
18	517	441	149	891	266	185	324	886	
19	299	268	136	840	386	47	686	804	
20	94	356	425	95	339	120	102	314	
21	688	264	687	870	464	39	470	227	
22	650	52	854	203	457	418	884	607	
23	284	883	574	635	685	601	399	742	
24	862	484	395	694	383	7	749	311	
25	144	371	339	265	600	16	58	860	
26	674	625	359	333	97	75	178	418	
27	562	522	425	107	118	579	274	216	
28	453	699	537	276	673	616	131	300	
29	339	579	144	557	424	73	88	18	
30	194	346	747	128	403	773	247	549	
31	813	355	332	673	809	296	39	536	
32	146	96	236	67	431	93	299	128	
33	879	258	44	737	527	199	655	899	
34	638	124	153	453	155	891	390	67	
35	620	349	392	898	745	610	135	756	
36	800	404	626	427	222	672	598	108	
37	884	670	868	161	323	187	156	208	
38	849	253	844	777	647	892	633	31	
39	328	86	595	393	503	378	70	849	
40	863	406	177	801	490	885	752	516	
41	219	209	829	662	38	274	162	783	
42	388	638	315	321	340	174	476	477	
43	152	628	632	465	505	545	608	103	
44	569	134	731	782	743	390	527	657	
45	459	612	383	897	193	421	176	819	
46	168	249	257	299	731	213	819	855	
47	50	348	653	593	203	63	117	596	
48	83	621	314	767	129	298	236	58	
49	504	373	128	380	840	828	412	713	
50	510	413	129	434	648	412	793	242	
51	495	720	40	773	560	836	609	382	
52	761	49	747	322	323	340	869	738	
53	788	13	780	841	708	140	240	634	
54	602	56	284	794	812	300	384	110	
55	298	222	482	484	163	729	786	608	
56	492	676	557	474	461	327	684	588	
57	644	567	245	418	526	121	309	101	
58	243	554	898	286	826	810	189	43	
59	406	439	170	600	450	751	740	879	
60	45	369	532	689	296	878	773	611	
61	695	386	88	32	829	544	373	784	
62	321	521	724	437	401	814	151	161	
63	803	409	22	309	741	96	424	552	
64	593	39	487	842	618	877	743	806	
65	542	20	272	715	753	61	51	582	
66	667	513	553	456	495	301	438	523	
67	434	895	408	635	555	532	840	130	
68	796	25	849	270	306	109	607	646	
69	607	153	381	262	282	771	203	828	
70	459	322	575	190	532	473	272	807	
71	655	464	861	301	50	648	426	883	
72	584	670	474	481	449	121	273	834	
73	511	682	341	93	461	687	393	540	
74	759	209	398	352	424	277	224	636	
75	432	862	189	495	411	92	466	47	
76	377	128	473	673	649	28	221	457	
77	502	375	507	811	429	151	803	585	
78	854	592	390	432	111	288	482	457	
79	865	697	477	346	449	74	159	821	
80	897	64	873	318	235	329	403	247	
81	454	422	683	108	377	529	648	688	
82	71	341	807	363	565	140	93	590	
83	694	476	418	271	417	640	710	564	
84	80	729	865	880	615	445	608	471	
85	404	234	408	665	393	294	696	831	
86	93	229	362	241	614	688	762	733	
87	748	565	899	568	602	190	292	6	
88	804	520	754	323	464	483	203	892	
89	451	439	538	774	34	101	530	26	
90	467	62	370	654	454	629	871	716	
91	43	163	88	151	275	438	4	444	
92	465	578	819	764	368	245	854	238	
93	740	237	582	113	133	330	64	642	
94	761	130	86	123	442	287	374	535	
95	867	280	785	182	844	69	135	535	
96	269	368	538	548	274	782	682	235	
97	749	128	729	831	780	468	200	736	
98	690	547	422	778	742	432	120	37	
99	613	428	83	123	77	604	298	214	
100	579	692	465	629	83	469	853	386	
101	537	237	256	301	608	170	863	180	
102	298	213	50	507	186	788	358	595	
103	315	493	382	651	563	369	787	776	
104	787	829	561	758	80	213	253	647	
105	43	309	837	136	214	561	623	203	
